"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"1","SRAE_0000000250",0,0,0.0296007648558256,0,0.0332346715548928,0,0,0.0520944755471974,0,0,0,0,0,0
"2","SRAE_0000008800",0,0.177206748982017,0,0,0,0,0,0,0,0,0,0,0.0281133103887026,0
"3","SRAE_0000009200",0,0.358250409572739,0,0,0,0.136328425049593,0.028608070250838,0,0,0,0.0331570566683915,0.0911185097955579,0,0
"4","SRAE_0000009300",0,0,0,0,0.0333443410758327,0.045631776081501,0,0,0.02985026552118,0,0,0,0,0
"5","SRAE_0000012700",0,0,0.0582691616181141,0.104760759064572,0.0681794609028279,0,0.0565276241621879,0.0515370883590842,0.118171572451259,0,0,0.0448962835309953,0.053924407768274,0.0564106749250906
"6","SRAE_0000016250",0.531731211400496,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SRAE_0000022000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SRAE_0000024200",0,0,0.0592393920546238,0.0502814601004729,0.0998711024952766,0.091741632602114,0.0287796377391555,0,0,0.0504302993736119,0.0334087209830487,0.0459875402325545,0.0288738311616821,0.15665558936867
"9","SRAE_0000025300",0.455715129187949,0,0.030329082212406,0.0518254858933582,0.0337481872879337,0.0440045290843337,0.0881066967054031,0,0,0,0.0341874773983292,0.172938862489785,0,0.0562532885855616
"10","SRAE_0000028000",0,0,0.0891433594403727,0,0.0664109837765615,0.0452152553830717,0.0289798784766119,0,0.0596155087974547,0.0504275179245612,0.0333117690327968,0,0.0290002629640192,0
"11","SRAE_0000028700",0,0,0,0.0533079954403877,0,0,0,0,0.029723384613116,0,0.0339352431196859,0,0.0267659987856949,0
"12","SRAE_0000044500",0,0,0.0897560838214391,0,0.0666243689850154,0.134775147503669,0.0292623398197053,0,0,0.202635099538023,0.100150845940877,0.0450953494123926,0.0292186228225812,0
"13","SRAE_0000045300",0,0,0.0594109600544321,0.100333452715459,0.0331435493268328,0,0.0579991784288968,0,0.208643036501258,0.0503657116942411,0.0664750804823937,0.0902434398532446,0.0869794005295197,0.0527532798142956
"14","SRAE_0000045400",0,0,0.0592317039468552,0.0502697979599211,0.0332806003880975,0.0458411247452493,0.0287794351661403,0.0520858169462493,0.0296848667590262,0,0.0333983510304074,0.183831136886473,0.115484857877701,0.0522214393359718
"15","SRAE_0000046200",0,0,0,0,0,0,0,0,0.0296571948649634,0,0,0,0,0
