"","geneID","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836"
"1","SPAL_0000000200",0,0.0554230594680588,0,0,0.0335578744857032,0.055409962450344,0,0,0,0
"2","SPAL_0000000500",0,0,0,0,0,0,0,0,0,0
"3","SPAL_0000000650",0.0973816506570289,0.0555260079770055,0,0,0,0,0.0643945753686674,0.0750770434940808,0.0405910693261625,0.0659390152906738
"4","SPAL_0000000800",0.0973483000904501,0.0542117896717106,0,0.053525930640861,0.0337471466900522,0.168020768267488,0,0.154749896735586,0,0.0669157308733558
"5","SPAL_0000000900",0,0.0449586931260314,0,0,0,0,0.0432752239498696,0.00857240033529041,0,0
"6","SPAL_0000001000",0,0,0.0403351618839718,0.0265951235460409,0,0,0,0,0,0
"7","SPAL_0000001100",0,0.0809705257304645,0.0397911912060783,0.0539058132826047,0.0675853001220193,0.0281765174595569,0,0,0.0410012696637277,0
"8","SPAL_0000001200",0,0.0279940259131955,0,0,0,0.0272080733627546,0,0,0,0
"9","SPAL_0000001300",0,0.222965681068965,0.0796901146399472,0.0623243774828821,0.0337314034301378,0,0.194896552970079,0.0492387979225755,0,0
"10","SPAL_0000001400",0.0981452493319065,0.109685190409661,0.04027579391423,0.0263713897629645,0.0668688577018238,0.055116750328208,0.130656076356885,0.0254092062487914,0.0409869154641849,0.201190952010822
"11","SPAL_0000001500",0,0.107762268105893,0.039713735944802,0.0538437018931018,0.0337422293453133,0.0281424595849879,0.0647925615659193,0,0,0.0664173755855581
"12","SPAL_0000001600",0,0.0817001400260437,0.0402053600447342,0.0265469438727971,0.067317912475344,0.055529436870609,0.130769810518196,0,0.0410487412091315,0
"13","SPAL_0000002200",0,0,0,0,0,0,0,0,0,0
"14","SPAL_0000002300",0.0971012997402882,0.054004740429027,0.119685414474277,0,0,0.0277822944181658,0.0649848392551673,0.0512196678488153,0.0408600981559501,0
"15","SPAL_0000004500",0,0.0851546934877265,0.0808762877524484,0.133990820660361,0.0658079221494711,0,0.129187480039394,0.0502865215475714,0.0814778906733618,0
"16","SPAL_0000004800",0,0,0,0,0,0,0,0,0,0
"17","SPAL_0000007700",0,0.155972816615411,0.0405734168055935,0.05293908208076,0,0.0829620283690908,0.262279197096286,0.207754691973651,0,0
"18","SPAL_0000008000",0,0.054288020680797,0,0.0269256830553689,0.033873569650971,0,0,0.0259202986786619,0,0
"19","SPAL_0000008200",0,0,0,0,0,0,0.130747126368772,0.0767295211204717,0.041037648501557,0
"20","SPAL_0000008400",0,0.0807422357303757,0,0.134970694508797,0,0,0.064708105249883,0,0,0
"21","SPAL_0000008500",0,0.0618528233374271,0,0.0893099093023236,0.067648461839142,0.0283100718272815,0,0,0,0.0911486579022437
"22","SPAL_0000011200",0,0,0,0,0,0,0,0,0,0
"23","SPAL_0000011300",0,0,0,0,0,0.0245657953415977,0.0419398053853631,0,0.12898394336389,0
"24","SPAL_0000012000",0,0,0.0614375244888813,0.0420732503987417,0.0164021831554257,0,0.192329308963115,0.441382849928118,0,0
"25","SPAL_0000012200",0,0.109240817604102,0,0.0265747663915392,0.0337023293189473,0,0,0.0256373317537982,0.0411236399049914,0.134525401263669
"26","SPAL_0000012300",0,0.0286055854895702,0,0.0270064341797775,0,0,0.0637310627544868,0.0248724175124283,0,0
"27","SPAL_0000014600",0.0979125844073792,0.218475641642027,0,0.0267550691831503,0,0.0568754440729672,0,0.025809570058934,0,0
"28","SPAL_0000014800",0,0,0,0,0,0,0,0.0773678391084512,0.0825208612011404,0
"29","SPAL_0000014900",0,0.02690783479562,0.0396230559512222,0.0541379394246908,0.06762709539723,0.0565629915578139,0.19402042619138,0.259669391879982,0,0
"30","SPAL_0000015200",0,0.0449586931260314,0,0,0,0,0.0432752239498696,0.00857240033529041,0,0
"31","SPAL_0000015400",0,0.0274782787320317,0,0.0266151181678914,0,0,0,0.109219100780697,0.0413003191291404,0
"32","SPAL_0000015500",0,0.0548464294657488,0,0,0,0,0,0.0917380398920126,0,0.0666625178852773
