"","L1L2-ERR1466827","L1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","PF-ERR1466836"
"SPAL_0000000300",-3.69764165482596,-4.82815856890751,-4.0625608676808,-6.24950183855654,-2.03503548241915,-3.12045074993674,-4.91293732283212,-6.42847568884183,3.76388997580684,-2.65497874184329
"SPAL_0000000400",2.15587044091088,2.13454536393074,3.50120896390439,4.16635757406925,1.71805971800386,2.42436859314738,3.73099076430572,4.24076765620466,3.82863055833894,1.92100483476971
"SPAL_0000000600",-5.27983996089239,-4.09369678017084,-4.06446598074154,-6.24950183855654,-2.56436107168976,-5.92980684543979,-4.91293732283212,-6.42847568884183,7.5534784795297,-0.731962890438992
"SPAL_0000000700",-2.47855003554136,0.479919798913076,5.33357299529247,3.17191328249178,1.63746712572279,2.1765860247515,-2.5932907476609,-2.51646958918408,-4.09424090498188,-3.39261038810781
"SPAL_0000001375",-2.11207099875845,-1.20409326251316,-2.83906574631473,-2.16307319451489,-1.64565112475187,-0.639271917752713,0.216539940889871,0.393235043087828,-0.252584806444683,-0.117586128772353
"SPAL_0000001700",1.05466519279835,-0.306539253079669,-0.604352070558939,-1.49194657540991,-0.239995062805218,-1.27756758181662,-0.522268193545774,-0.541838950992332,-1.28679301014885,1.39727302541588
"SPAL_0000001800",-0.0313538404510324,0.856117978513431,0.216774367061289,-0.222152701907588,0.619307740507864,-0.0982607854089017,1.50476332337151,2.04733942780639,0.277312609919944,0.550607853884835
"SPAL_0000002000",-5.27983996089239,-4.82951467278242,-5.64584953942549,-6.24950183855654,-5.73536486133688,-5.92980684543979,-3.33046185037099,-6.42847568884183,2.82838012624644,-4.97467439249889
"SPAL_0000002100",-3.69704176583379,-3.24318055818537,-1.55947061148514,-3.44081029370167,-2.27257220464891,-2.01570897724801,3.63772809642505,4.09172526195609,-4.09359821858427,-4.97467439249889
"SPAL_0000002400",-5.27983996089239,-2.02174065747977,-0.438903643631595,-0.0937994011735464,-2.92318141707719,-2.74938623643474,-4.91293732283212,-6.42847568884183,1.03647936291359,-4.97467439249889
"SPAL_0000002500",0.546319399545119,0.0271613840565943,0.232755083998873,-0.0550822367347092,0.572548267199876,0.680409943208557,-2.59316752476882,-1.89985477573345,-1.43129574261663,1.28798260086588
"SPAL_0000002533",-5.27983996089239,0.214741741405737,-5.64584953942549,-1.31197829882491,-3.40912349844545,-3.1307173455381,-0.247922244351782,0.0713172704037928,-1.14271281641696,-4.97467439249889
