"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"1","SVE_0000052350",0.0630207833065376,0.0629395408591013,0.197665613495042,0.32357470126119,0.0910952660127171,0.0886054749764801,0.118816897707225,0,0,0,0,0
"2","SVE_0000062250",0,0,0,0,0,0,0,0,0,0,0,0
"3","SVE_0000063250",0.133083614293156,0,0,0,0,0,0.0657813674711845,0.0639198510631654,0,0.0762008635028077,0,0.0702434824704994
"4","SVE_0000065950",0,0,0.24440187038695,0.119786090813281,0.091582316909721,0.0893004519795985,0.251597248919909,0.0618925881323249,0.078002950071484,0,0.149823901854924,0.074413726703346
"5","SVE_0000115450",0,0.0644882313128445,0.20364736327733,0.0669671547687151,0.0948718734037749,0.0908414176375407,0.061265113172723,0.0602749343659611,0,0,0.125471376692086,0
"6","SVE_0000120250",0.261687080309503,0.256492539738645,0,0.119569009225038,0,0,0.189948459172755,0.374202708254545,0.0786136065045107,0.307877732952565,0.226195208817147,0.149527039177829
"7","SVE_0000131050",0,0.126948865236929,0.0679336974419815,0,0.0951203587834435,0,0,0.0608130733475417,0.0719294082107175,0,0,0
"8","SVE_0000176450",0.0645793814687989,0.0643089482745347,0,0,0,0,0,0,0,0,0,0
"9","SVE_0000182450",0.200320104480002,0.197695154874357,0.347785669985386,0.341312668902739,0,0.0909977258497393,0.120607228866565,0.0598064244717177,0,0.201908806418425,0,0
"10","SVE_0000212950",0.196242984429927,0.25583004947978,0,0,0.0923553046990153,0.179748042499366,0.250935109146255,0.122905199641793,0.0767854233028877,0,0,0
"11","SVE_0000332450",0.146419881539012,0,0,0,0,0,0,0,0,0.074154851986372,0,0.0657657515892178
"12","SVE_0000382550",0.0621323263520995,0.0624250176539345,0.0650234453187955,0.0635221466418386,0,0.0878709911087683,0,0,0,0,0,0
"13","SVE_0000399650",0.0731999736335712,0,0,0,0,0,0,0,0,0,0,0.0635628762976332
"14","SVE_0000400",0.129849942244854,0.317680020085462,0,0,0.67200263511531,1.32682262568372,0,0.0636205458528824,0,0.0767606278356202,0,0.0719503694458143
"15","SVE_0000434133",0,0,0.190871336126089,0,0,0,0,0,0,0,0,0
"16","SVE_0000434166",0,0,0,0,0,0,0,0.0641988729899768,0,0,0,0
"17","SVE_0000491450",0.343988418685506,0.559262044868716,0.806789720709677,0.143488079003459,0,0.582918885903189,0.0619958565403777,0.124106991805094,0.0685660891183623,0.0682012402999872,0,0.120872063314548
"18","SVE_0000500",0,0.127079626675553,0,0,0.264015441733057,0.773527934599232,0.323288798738024,0.317374327472344,0.235669198643177,0,0,0.0723126000578975
"19","SVE_0000502650",0.193017134291565,0.0656533337122232,0,0,0.28743290251844,0.277617014133263,0,0,0.0718369131161511,0.0700531492189085,0,0
"20","SVE_0000503850",0.0641414700962367,0,0,0,0,0.180436202235252,0,0.0618853194320673,0,0,0,0
"21","SVE_0000525950",0.378005150735024,0.254974241274844,0.0662545512785522,0,0.470533797169195,0,0.0632022115978442,0.12335374508351,0,0,0,0
"22","SVE_0000533850",0.38966421565139,0.302259728144585,0,0,0.134751027710467,0.392264029941732,0.11329367747761,0,0,0.205592496975898,0.214979272362027,0.0911383718204508
"23","SVE_0000569650",0,0,0.138705318976225,0.203745460523852,0,0,0,0.0619797703999186,0,0,0,0.0623732811345681
"24","SVE_0000572950",0,0,0,0,0,0,0,0,0,0,0,0
"25","SVE_0000600",0.0650435035409778,0,0,0,0,0,0.0651147547431967,0,0.0784129625146171,0.153516868163371,0,0.143354316471934
"26","SVE_0000657250",0,0,0,0,0,0,0,0.0641988111342249,0,0,0,0
"27","SVE_0000660650",0.20986490413623,0.365921717133955,0,0,0,0,0,0.12387577042675,0,0,0,0.0604209480400106
"28","SVE_0000661550",0.194776857995891,0.0637747178548139,0,0.0612338917981028,0.0924908721071043,0.272780066368998,0.124631490496604,0.1844712193374,0,0,0,0
"29","SVE_0000662550",0,0.061341933686561,0.650908016325054,0.627068187149348,0,0.0862118733074949,0,0,0,0,0,0
"30","SVE_0000699050",0.192836816469199,0.0653280070273953,0,0,0.0953575895341539,0.183326076580119,0.0618461255426785,0,0,0.0693375703086485,0,0
"31","SVE_0000710550",0.131410272404249,0.196379132936473,0.0680839714390435,0,0,0,0,0.0635751054140376,0.0771306929919037,0.149465576014258,0.206898905803995,0
"32","SVE_0000720350",0.19280403647442,0,0,0,0.382168363455597,0.0908916789092755,0.0642790854398399,0,0.150057628698264,0,0.0677371582875716,0
