"","geneID","L1-DRR029433","L1-DRR029434","iL3-DRR029435","iL3-DRR029436","L3_lung-DRR029437","L3_lung-DRR029438","Young_FLF-DRR029439","Young_FLF-DRR029440","FLF-DRR029441","FLF-DRR029442","iL3a_1d-DRR029443","iL3a_5d-DRR029444","Egg-DRR029445","Egg-DRR029282","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"26","SVE_0031900",0,0,0,0,0.0588798045044194,0,0.0951573227887879,0,0.14893409436692,0,0,0.0788202758066318,0,0,0,0,0,0,0,0,0,0,0,0,0.0974925190690716,0
"27","SVE_0037300",0,0,0,0,0.0890587783581165,8.18118595332413e-06,0,0,0.0265141658220225,0,0,0,0,0,0,0,0,0,0.181953135679947,0,0,0,0,0,0,0
"28","SVE_0045700",0.0288474007821284,0,0.0307253079179484,0,0,0.0726480670288201,0,0,0,0,0.0300600080042118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","SVE_0045900",0,0,0,0,0,0,0,0,0,0.0619984995144655,0,0.0327259131163083,0,0.0706607285200885,0,0,0,0,0,0,0,0,0,0,0,0
"30","SVE_0060300",0,0,0,0,0,0.0745851365427981,0,0,0,0,0.0933456622824411,0,0,0,0,0,0,0,0,0,0,0.0648973084432812,0,0,0,0
"31","SVE_0068000",0,0,0,0,0.1212839443706,0.223803960004181,0.134838894441352,0.181658722124866,0,0,0,0.168764319331863,0,0.0363407522715408,0,0,0,0,0,0,0,0,0,0,0,0
"32","SVE_0074900",0.0269393989768067,0,0,0,0,0.0749946044076498,0.033961720756352,0,0,0,0,0.0643810715177484,0,0,0,0.076494720584398,0,0,0,0,0,0,0,0,0,0
"33","SVE_0077300",0,0,0,0.0515521771333687,0,0,0.0307992310272105,0.152994828753741,0,0,0.0266446243375371,0.061548133504501,0,0,0,0,0,0,0,0.114493003146781,0.159382026527953,0,0,0,0,0
"34","SVE_0077400",0,0,0.0315051593660136,0.110451216560768,0.0318956829834001,0.204290518834879,0.216954886662018,0.16056582691661,0.0279156088414947,0,0.0309356243790166,0.0359037106244794,0.0390630769739325,0.0383785709736858,0,0,0,0,0,0,0,0,0,0,0,0
"35","SVE_0081400",0,0,0.0826121360006646,0,0.0279119000018455,0,0.0619590167320401,0,0,0.0591591754159907,0.0268511721701517,0,0,0.0334313727407358,0.0714273672291723,0.141589060442986,0,0,0,0,0.283167221081269,0.069200946746225,0,0,0,0
"36","SVE_0093000",0.0292222383764383,0.037763035816356,0.0311470571146214,0,0.0315364309634689,0,0,0,0.0546820665064602,0,0.0305190034183062,0,0,0.037945991950501,0,0,0,0,0,0,0,0,0,0,0,0
"37","SVE_0093800",0.0814343839840577,0,0.0658836025222339,0.0510317836880234,0.0578533468775878,0,0,0,0.15781344695767,0.0495330872753598,0.0282598436642673,0,0,0,0.0685260347606652,0,0,0,0,0,0.0679236698223477,0.0667743061557913,0,0.0904599010667538,0.0792641133473889,0
"38","SVE_0093900",0,0,0,0,0,0,0,0,0.0222685731503036,0,0.0246766346208055,0,0,0,0,0.0694486437228568,0,0,0,0,0,0.0677777334468538,0,0,0,0.162107813640712
"39","SVE_0094100",0,0.034418105597294,0.0468244567939042,0,0.0893376289691759,0.0640205292295763,0.0440985034239827,0,0,0,0.0580355156661657,0.052272380182749,0,0,0.0765395583433624,0,0,0,0,0,0.0753134267546209,0,0,0,0,0
"40","SVE_0094200",0,0,0.0866422825171149,0.213380347779873,0.117005874165563,0,0,0,0,0,0.0848270015148722,0.0717348049012258,0,0,0,0,0,0,0,0,0,0,0.103437264214938,0,0,0
"41","SVE_0094300",0.00610240041028304,0.0150172295963121,0.0516755183460074,0.153703497589345,0.0346868989593236,0,0,0,0.159517042238592,0.0855702746024849,0.119817382521339,0,0.0857709244590397,0,0.161751071219411,0,0,0.0499753730823476,0,0,0,0,0,0,0,0
"42","SVE_0095200",0.028897057696372,0.134634258615635,0,0,0,0,0.103564701196841,0,0.0534702563585824,0,0.0598645616417535,0.0691073672307017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SVE_0118400",0,0,0,0,0.0762578985510666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","SVE_0133200",0.0528545465810334,0,0,0.0643666750209358,0,0,0.0630050575908127,0.065298523785886,0,0,0.0547304556466905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720684708815107,0
"45","SVE_0147800",0,0,0.0339101283628451,0,0.0573483603071942,0.184018439501815,0.0657380792378991,0,0.0482023447755926,0,0.0279078378619843,0.0971332115404434,0.0352202015519699,0,0,0,0,0,0,0,0.075091512994563,0.10353188291294,0.0269444474736849,0.00206274452205816,0,0
"46","SVE_0172300",0.0511504830607609,0,0.027266012377527,0,0,0,0.0934800777598827,0,0.0883322806393562,0,0.0267289463706363,0,0,0,0,0,0,0,0,0,0.0769896800994117,0,0.190961322440389,0,0,0.182056097022606
"47","SVE_0172600",0,0,0,0,0,0,0.0747459104665524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SVE_0173200",0.0834656031796178,0,0.0592803226787365,0,0,0,0,0,0.0259334833089321,0,0.0580460307618636,0.0669428682580072,0,0.072222704403958,0,0,0,0,0,0,0.0872650323131686,0,0,0,0,0
"49","SVE_0173300",0,0,0.110355095054621,0,0,0,0,0,0,0,0.157507472569806,0.375310591625536,0,0,0,0,0,0,0,0.115199878295408,0,0,0,0,0,0
"50","SVE_0178900",0.104822813563945,0,0,0,0.0282091838993619,0.263056098217792,0,0,0.0644298349357568,0.110746269181144,0,0,0,0.0339321749698178,0,0,0,0,0,0,0,0.159710518370834,0.0988506174963144,0,0,0
"51","SVE_0180400",0,0,0,0,0,0,0,0,0,0,0,0.0368144472180055,0,0.0376512523600517,0,0,0,0,0,0,0,0,0,0,0,0
"52","SVE_0180500",0,0,0,0,0,0,0,0,0,0,0.0276720800411183,0.0639081175798938,0,0,0.0736110815038897,0,0,0,0,0,0,0,0,0,0,0
"53","SVE_0197100",0.153623591698387,0,0,0,0.0613259251694046,0,0.0758100790004405,0,0.111582906839698,0,0.0314708627439332,0,0,0.0367093788449078,0,0,0,0,0,0,0,0.0790806986635334,0,0,0,0
"54","SVE_0197300",0,0,0,0,0,0,0,0,0,0.053994813949712,0,0,0,0,0.0610868102220413,0.0605809641579583,0,0,0,0,0,0.0593357188771123,0,0,0,0
"55","SVE_0197400",0,0,0,0,0.116298914513808,0,0,0,0,0,0.0283750709845176,0,0,0,0,0,0,0,0,0,0.0702453654310502,0,0,0,0,0
"56","SVE_0202100",0,0.0378525133330898,0.0281825985321123,0,0,0,0,0.0559792497803695,0.147716373523129,0.110459835580705,0.0825371280960853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893233473289646,0
"57","SVE_0206900",0,0,0.0877281373682242,0,0,0,0.0330710170566381,0,0,0.0540466756657692,0.200360603532919,0.165184251063841,0,0.106815316648258,0,0.0880285107835303,0,0,0,0,0,0,0,0,0,0
"58","SVE_0228300",0,0.0748636576336155,0.0626452699566932,0,0,0,0.142562360594196,0.0548369812663916,0,0,0.015364893113497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SVE_0228600",0,0,0,0,0.0597012577054937,0,0.0663360943725632,0.129659180000589,0.0513588135186577,0,0,0.0663336312473171,0.0452023508912503,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","SVE_0229400",0,0,0,0,0,0.0698202259660437,0,0,0,0,0,0,0,0,0,0,0,0,0.0413607740452987,0,0,0.0568904956722911,0,0,0,0
"61","SVE_0231200",0.027382917050063,0,0,0,0.117741292619979,0,0.0995178672971013,0.157161002114354,0,0,0,0.165093852167043,0,0,0,0,0,0,0,0,0,0,0.208804842293119,0,0,0
"62","SVE_0235200",0.0294040892330095,0,0.0313487426955478,0.0552171246556527,0.0821251813998971,0,0,0,0,0,0.0307181687406809,0,0.0390384038259097,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","SVE_0235400",0.0260008070582248,0,0.0554672316905621,0,0,0.0603750479466595,0,0.0952497061254208,0,0,0.0271711669716217,0.157694957180052,0.0345945158995148,0.0676051998325652,0,0,0.0763912920474657,0.0748831138910835,0,0,0.0790238883848801,0,0.0977839748033195,0,0,0
"64","SVE_0251200",0.0794305648887585,0,0.0982389554136475,0,0,0,0.631083375681798,0,1.14963500978776e-05,0,0,0,0,0,0,0,0.0729437089952109,0,0,0,0.00216299124293856,0,0,9.55296659616479e-07,0,0.0664487304014967
"65","SVE_0257300",0,0,0.0270075900864258,0,0.0272924181066254,0.139256928536649,0.272954131338285,0.0567675824095214,0,0,0.0526167661530724,0.030344979493204,0,0,0,0,0.0731430087303924,0.0718294131151489,0,0,0,0.0715158661630416,0,0,0,0.078657042865682
"66","SVE_0263600",0,0,0,0.105547584979736,0.133561587736033,0.0650179234972584,0,0.0560790557610474,0.0917350718613829,0,0.0584751268177848,0,0,0,0,0,0,0.0701693491572121,0,0,0,0,0,0,0.0824660660696784,0
"67","SVE_0264300",0,0,0,0,0.0614143528591061,0.213163140023602,0.0343253256232195,0.171287433943852,0,0.113233980256443,0,0.0343117510318744,0,0.036942528721835,0,0,0,0,0,0,0,0,0,0,0,0
"68","SVE_0270200",0.0557585190585618,0,0,0,0.0861364936772409,0,0.0368060466519465,0,0.027061742600741,0,0.0296115751243529,0,0,0,0.0715267238184492,0,0,0,0,0,0.0713408133277968,0.0695376126311089,0.084662803980953,0,0,0
"69","SVE_0270500",0,0,0.034948930094281,0,0,0,0,0.0508866986770823,0.0416575443442476,0,0.118236333286349,0.0200374221143869,0.000134895952522188,0,0,0,0,0,0,0,0.080067054967809,0,0,0,0,0
"70","SVE_0271100",0,0,0.0623105829757469,0.128848493604475,0,0,0.0705477303374621,0.0572084984710223,0.0545181596660254,0,0.0610131971750756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SVE_0271200",0.0236158467257992,0,0,0,0.0302395245325059,0,0,0,0,0,0,0.0722967870269568,0,0,0,0,0,0,0.107946837177515,0,0,0,0.08850338132993,0.0869522406530979,0,0
"72","SVE_0271400",0,0.00422392863850345,0,0.255649125149703,0,0,0,0,0.237243474516582,0.00113024790511843,0,0,0.046718805690066,0,0,0,0,0,0,0,0,0.0985308015013956,0,0.0331243160375999,0,0
"73","SVE_0272000",0,0,0,0.0550222448581874,0,0,0.132749792144703,0.0543950656485596,0.0256626433854662,0.0540715467501432,0.0574613111458891,0.0993836703649334,0,0,0,0,0,0,0,0,0,0,0,0.102955822129097,0,0
"74","SVE_0277100",0,0,0,0.110238534119452,0.0326121662533872,0,0,0,0.0280067356734779,0,0.0758090974854001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SVE_0277200",0,0,0,0,0.077929331258243,0.0656920138315103,0,0,0.250553582884987,0.0517679795084792,0.0295812837493238,0.0768152938321169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832628245554708
"76","SVE_0277900",0,0,0,0,0.207174111299689,0.0710910532517976,0.0329391353619053,0.402824095665771,0.02558547327518,0,0,0.0329741707708226,0,0.0355242784026145,0,0,0,0,0,0,0,0.0821841074368622,0,0,0,0
"77","SVE_0278100",0,0,0,0,0.10806909351195,0.233649671208582,0,0.09234452276237,0.0235303588577026,0,0,0.0303162979319576,0,0,0,0,0.0746163250476784,0,0,0.108508409401516,0,0,0,0,0.091301638218094,0
"78","SVE_0278200",0.12984450740171,0,0.0554409859824015,0.111967071498549,0,0,0.0987979927375892,0,0.0308523176993881,0,0.0541219855172058,0.0320336502983426,0,0.0335963088970244,0.079992542303488,0.0786387436464134,0,0,0,0,0,7.28301150791756e-10,0,0.181973699938518,0,0
"79","SVE_0278600",0,0,0.0277098920020404,0,0.0560215118422123,0,0.0311781590327351,0,0,0.0543035467616097,0,0.0624503517745186,0,0,0.0812475119463388,0,0,0,0,0,0,0,0.0948077162352898,0,0,0
"80","SVE_0283000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","SVE_0292400",0.0514098363859138,0,0,0,0.0284902471097174,0,0.0316298199612438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720507996933222,0,0,0.0870980708030026,0
"82","SVE_0292500",0,0,0,0,0.0220949203289758,0,0,0,0,0,0,0,0,0,0,0.0654757856822466,0,0,0,0.0919830854151564,0,0,0,0,0,0.0745599011898289
"83","SVE_0292600",0,0,0,0,0.0321087654304765,0,0.0360635949500475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","SVE_0293400",0.0529925966878098,0,0.0948818514961164,0,0.110231473989607,0,0.147087209063029,0,0,0,0,0.11271222297234,0,0,0,0,0,0,0,0,0,0,0.0925834346231852,0,0,0
"85","SVE_0293600",0,0.0395989505904428,0.149572757031848,0.235319514939479,0.0605310345108252,0.0724477045405268,0.134861579183678,0.0585751180258738,0,0,0.116895106963311,0.0337475148902516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","SVE_0307600",0,0,0,0,0.0372708281429589,0,0.0335538210124073,0,0.0284386455972244,0,0.0431807420324169,0,0,0,0,0,0,0,0,0,0,0.0228194297432179,0,0,0.0839008782629575,0
"87","SVE_0319200",0,0,0.0329020146548794,0,0.0296466505487976,0,0,0,0.0511021120019139,0,0,0.0464989270631014,0,0,0,0,0,0,0,0,0.0815167679874277,0,0,0,0,0
"88","SVE_0323700",0,0,0,0,0.02879517602299,0,0,0,0,0,0.0307042482481744,0.0324390129935221,0,0,0,0,0,0,0,0,0.156087027789176,0,0,0,0,0
"89","SVE_0323900",0,0,0,0,0,0,0.0365085780326397,0,0.0564016013057641,0,0.0626341358087892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","SVE_0328200",0,0,0,0,0,0,0,0.0941047018398692,0,0,0,0.0279444001103971,0,0,0.149301990540033,0,0,0,0,0,0,0.212175777337768,0,0,0,0
"91","SVE_0329000",0,0,0.0857217279226618,0,0.0832873598429606,0,0.10725420518197,0.0688854642696528,0.0599377890232065,0.0660519881855294,0.0278878313597048,0.054213175515335,0,0,0,0,0,0,0,0,0.0665117079850393,0.0647024108093912,0.155148493762062,0,0,0
"92","SVE_0334300",0,0,0,0,0,0,0,0,0,0,0,0,0.0693496759909053,0.13928537146247,0,0,0,0,0,0,0.159738429008875,0,0,0,0,0
"93","SVE_0337800",0,0,0,0,0,0,0,0.0908387820736832,0,0,0.0255324081478408,0.0299612626155249,0,0,0.0916179339736435,0.0864862464305106,0,0,0,0,0,0.0711528278143677,0,0.0334818710788954,0,0
"94","SVE_0338000",0,0,0,0,0,0,0,0,0,0,0,0.0350174836746058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SVE_0339100",0.0281497947919939,0,0,0,0.0608135930112394,0,0.21236885383843,0.261365835511792,0.0264594454615408,0.0523417105273391,0,0,0.037816315323986,0,0,0,0,0,0,0,0,0.0856347415081457,0,0,0,0
"96","SVE_0368300",0.0552016408943618,0,0,0,0.177895568957811,0,0.230310913186732,0.272792416391018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SVE_0368400",0,0,0,0,0,0,0.0747459948996084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","SVE_0369100",0,0,0,0,0,0.11260979269555,0,0,0,0.0246307307806148,0,0,0.0709635355366196,0,0,0,0,0,0,0,0.000596759176909734,0,0,0,0,0
"99","SVE_0372000",0.025157381377098,0.0367615210782586,0.0268227044571661,0,0,0,0,0,0,0.0536531293277109,0.0261705636369518,0.0301738684110423,0,0,0.076851807122305,0.0756154049692123,0,0,0,0,0,0,0,0,0.0827141941646619,0
"100","SVE_0382000",0.0285783127698028,0,0,0.0676028386961338,0,0,0,0,0.0263514545092972,0,0.11825838858077,0.0340878818589389,0,0.0368142733172806,0,0,0,0,0,0,0,0,0,0,0,0
