"","L1L2-ERR1466827","L1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","PF-ERR1466836"
"SPAL_0000000300",-3.03069117677543,-3.40410530143606,-3.17251450593741,-3.81529436332805,-1.75502691630807,-2.55962129836789,-3.81529436332805,-3.81529436332805,3.76935091935868,-2.33639596802515
"SPAL_0000000400",2.17046045501648,2.15388538213188,3.50770030980369,4.17100152255599,1.74079887153497,2.43897734030152,3.73509645578301,4.24529515263395,3.83385228718653,1.93587460675576
"SPAL_0000000600",-3.81529436332805,-3.08522100490693,-3.17354218619423,-3.81529436332805,-2.17573269864993,-3.81529436332805,-3.81529436332805,-3.81529436332805,7.55387393643729,-0.640889813176516
"SPAL_0000000700",-2.15379236871166,0.539953933010469,5.33539863729831,3.18115091645611,1.66150188089501,2.19391581793998,-2.29654515616053,-2.09420821349924,-3.18354316186308,-2.89483794943685
"SPAL_0000001375",-1.8540685471111,-1.01945658953586,-2.38974950045856,-1.83046935554427,-1.42713812249787,-0.521453980471386,0.262777199658552,0.457080876897225,-0.166647584413961,-0.0574492438017388
"SPAL_0000001700",1.08578656957575,-0.204500528881209,-0.496486723678344,-1.27430071959382,-0.153584715727542,-1.09812594061672,-0.445914368269933,-0.422131475068525,-1.11597112848859,1.41860297885126
"SPAL_0000001800",0.0339311419721244,0.902591395113072,0.278813125287901,-0.127875382992197,0.667577443703939,-0.0162626051018107,1.52387483271295,2.06793324752218,0.337373747368327,0.588742913301474
"SPAL_0000002000",-3.81529436332805,-3.40461052325694,-3.81529436332805,-3.81529436332805,-3.81529436332805,-3.81529436332805,-2.86509172820287,-3.81529436332805,2.83880670325599,-3.81529436332805
"SPAL_0000002100",-3.03031331568427,-2.60059752097188,-1.35719788810019,-2.73712813879848,-1.94771603276078,-1.72773725828509,3.64210755746356,4.09674466280502,-3.18320126351577,-3.81529436332805
"SPAL_0000002400",-3.81529436332805,-1.71065669310984,-0.342343343801519,-0.00731183485086891,-2.44142320045216,-2.29798669630715,-3.81529436332805,-3.81529436332805,1.07226712922421,-3.81529436332805
"SPAL_0000002500",0.590388019590043,0.108712028755526,0.29412476059078,0.0291807335464549,0.622380929871673,0.728771615279753,-2.29644484125034,-1.6108879947086,-1.24360145109143,1.31097786877523
"SPAL_0000002533",-3.81529436332805,0.28659274502774,-3.81529436332805,-1.11822206817528,-2.77200428816197,-2.56657316610327,-0.184505026355377,0.150692137125928,-0.987283998766262,-3.81529436332805
"SPAL_0000002566",-1.19741823386073,-0.947753109178244,-2.37214404057116,-2.30188828967983,-2.2001084908456,-2.10330215190168,2.52516464190992,2.2257026674386,-1.54427146512461,-0.512142952522303
"SPAL_0000002600",4.50223899615145,3.38012779122234,2.69918824272818,2.66229033053916,3.16172485277685,2.53776619299029,6.28244736547981,6.37637296189239,2.27312739071183,3.98406573368202
"SPAL_0000002700",4.1075778763028,4.47181259763933,5.42548573643561,5.45025661357009,4.50132427045404,4.50384769326766,6.68349116568463,7.4976061639229,5.32646643737836,4.78346304069618
"SPAL_0000002800",5.87949552702345,6.08665470490632,5.36399562667564,5.68515040141067,5.01838124551645,5.04711537830376,5.18098905480381,5.28109299471781,5.75648126368066,5.30350441487088
"SPAL_0000002900",1.53188572495003,2.13960377663289,2.03452117079161,2.25880016841164,0.788300696662588,0.940802631941209,2.67129518413615,3.53292636256335,0.838788352575144,1.41852510523352
