"","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"SRAE_1000237700",10.7455742376721,1.85252591979797,-2.08636430487036,-1.62198586542104,-1.38907067777559,3.15715435054201,0.240932427133422,-1.20544762077908,-2.52323527634793,-2.48896002155383,-1.66351217348974,3.12027569033142,0.468421559164733,-0.0168201584667978
"SRAE_1000237800",3.01391011408868,1.91593852507008,-1.01953411458865,-0.673878802524067,-1.03713658045712,0.376475062108718,0.0612948288664123,0.17253555849902,-1.87479759848257,-2.12150810338578,-1.50565094688428,0.3373844789482,0.171412900686909,0.367135678957595
"SRAE_1000237900",0.218100267873797,1.9581532276013,0.335166893624936,0.992920400201614,0.163305761331543,2.03210500033291,1.8791452308839,2.25968801820275,0.510403205239705,1.09470405055809,0.789968979700626,2.38353131716003,1.71824438975664,1.99238996840493
"SRAE_1000238000",-3.63595069680009,4.0667369471831,1.03802753356801,1.6964597282548,1.32893096056778,1.70952066364148,2.25314515485332,1.34338268290896,0.731871060282293,1.38213229870221,0.989842722767124,1.97172259097627,2.49990885074637,1.6029008979013
"SRAE_1000238100",10.0365905883289,1.85257829169976,5.11968793595141,4.20671080974096,4.60148670809967,5.21724607736632,5.30364453714193,5.32266463694735,5.14578023324992,4.16306787735701,4.6821221705498,5.29062565957683,5.20032611643028,5.2879028261274
"SRAE_1000238200",8.53551349193737,0.0911622450094679,4.09841818900305,3.22591446897498,3.66194264346937,6.42504234521177,6.95465505396124,6.73865288976727,4.11090310974317,3.30497313681492,3.68603290402482,6.46287163723009,6.94282330130329,6.69361926915393
"SRAE_1000238300",2.87651559499292,6.50177909887675,3.96930812509297,4.13121675844946,3.89801621188103,4.55423206608693,4.60007397074723,4.60112257940196,3.79126774185943,4.23834575149705,3.97268373836392,4.65090572808758,4.44919593991663,4.56105404569124
"SRAE_1000238400",1.13794224470487,4.43924982806031,0.859168687012969,0.916341260519636,1.15169753631329,1.9093067406096,1.89346956431372,2.07333838046688,0.84138586042475,1.15513321203702,0.995944574106594,1.82986834186541,1.72426084867832,1.90825974366387
"SRAE_1000238500",6.46799400481381,7.22734582402211,5.44779760722926,5.35658711814832,5.37596507552137,5.93258815587791,5.87621313122842,5.91432706501381,5.41045695708006,5.41800271642253,5.43403553556464,5.84760886018521,5.91440928134422,5.84627395887975
"SRAE_1000238600",-3.63595069680009,0.45588889625463,2.63759403766128,2.20524757497106,2.72795154072063,3.81746592988048,3.52808704661967,3.762797993931,2.69386073036432,2.15718727561195,2.71114304949611,3.7230233880099,3.56849361050441,3.62764475005534
"SRAE_1000238700",-3.63595069680009,-0.427499422084006,-3.16823883120663,-2.49335528665431,-1.67407416694949,-3.63595069680009,-1.85331909935349,-1.83199616898657,-2.52843453276802,-1.62994289289455,-2.22421250001702,-2.59348910150565,-1.4665998558171,-1.59557766261307
"SRAE_1000238800",1.21575423068987,1.51164215861928,-1.45265167749524,-0.192458562044899,-0.542567679091882,-0.686550606223263,-0.798930714474657,-0.112285121075174,-0.347761524815409,0.163412655779765,-0.757812234970478,-0.594649866620262,-0.664209470849159,-0.711757748435252
"SRAE_1000238900",3.28953029239297,-1.06879779746859,2.83519864285117,2.90146554659306,3.1117036512756,3.54116337729777,3.67698313146215,3.61343268208973,2.70101295601991,3.15308475023787,3.08316321720686,3.60021889887378,3.61145517156105,3.3199403669474
"SRAE_1000239000",-3.63595069680009,-2.03874740023219,0.523921192043531,0.948838897313015,0.778179603802482,1.32862524018961,1.12819482516077,1.02606778258645,0.367002384529026,0.66717844697894,0.725884488173407,1.20560901785712,1.18798338897277,1.28459565382251
"SRAE_1000239100",1.1196420005024,3.26014911623393,3.59501343610334,3.12440015774999,3.3045758186458,4.2911098170404,4.2627591330144,4.37178315078238,3.69868611159763,2.96970882632202,3.24989319013297,4.29627074960576,4.24893000390627,4.53940703121587
"SRAE_1000239200",8.93071173323025,4.43187697361935,4.31542007737264,4.25505738835966,4.37017818336596,3.84388177233239,3.77885808374517,3.89075770077208,4.30812692500549,4.19786308406577,4.30767040130899,3.7318540061321,3.94472915462881,3.87062827495456
"SRAE_1000239300",4.19431362178283,5.65427880983976,5.36482332490564,5.55052397905135,5.357568557837,4.85416346454976,5.00996137773226,5.21755680160663,5.38597021728084,5.57950405551751,5.26730142547917,4.79241472432447,5.04445670285121,5.16384402830994
"SRAE_1000239400",4.55630779935376,4.58571596917203,6.27440908573747,6.42278928313108,6.30280460487161,5.91584121116052,5.81011722077117,5.93257087712913,6.29364564873287,6.37478125799661,6.30416888437105,5.87639072718489,5.81976839405262,5.84950461819456
"SRAE_1000239500",4.0356220915967,5.40063866620861,7.26859133568222,7.14182259684577,7.23215426238448,6.81500053950134,6.75356377115244,6.70264330514129,7.20354795978931,7.15304829484155,7.20486785495386,6.78998372971449,6.742967127885,6.73353925744261
"SRAE_1000239600",6.14771058196193,4.20489333923962,6.33022778412505,6.15576479550635,6.17717247609588,5.82014641264122,5.7383617209762,5.8723260020959,6.2872569554155,6.1599104740703,6.12726176556723,5.91862411083868,5.8576914307385,5.81672762735526
"SRAE_1000239700",2.24412194682306,2.85771013183254,6.55159595290352,6.3194808674864,6.50462756521644,6.69454595444793,6.8131620788452,6.80442399696818,6.62253245942863,6.37920882217925,6.47487959523083,6.70625516866343,6.84230506391194,6.81052949492553
"SRAE_1000239800",2.81114856980443,6.193806369937,1.68073919009419,1.63572935136088,1.3348125164196,3.2650957642325,3.27562989626979,3.49200256683188,1.54141547976478,1.4662246899941,1.51950111729555,3.28301357328726,3.18546702291898,3.34173978310119
"SRAE_1000239900",7.13713485165872,-3.63595069680009,-1.4682490886609,-2.13266866922994,-2.00636582697321,-1.39357029890627,-2.16672605901562,-2.45695280308832,-1.46196623813348,-1.61593725045942,-2.00308425607209,-0.643873870214028,-2.59041530367821,-2.9292787081706
"SRAE_1000240000",2.62069595637318,0.664518395825805,-1.74961933007177,-1.62235326581638,-2.22196767143055,-0.653437156393503,-2.59858592265078,-1.20624358626018,-3.16367322603475,-1.42114715879619,-2.46411788050651,-1.23985785525995,-1.45966265721871,-1.0478814122282
