"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961"
"1","SSTP_0000000200",0.0554997377788836,0.0541398758204166,0.0561241395942307,0,0,0,0,0,0,0,0,0.0184992766235031,0,0,0,0.0341954024743485,0,0,0,0.177430225935728,0.0425767260363099
"2","SSTP_0000000700",0,0,0.0533769998572564,0,0,0.0880042684399368,0,0,0,0,0,0,0,0,0,0,0.00878247382631936,0,0,0,0.0232281562073366
"3","SSTP_0000000900",0.0166478814920102,0.0516068874104188,0,0.255782276507829,0.146906387905335,0.163094177466177,0,0,0.03690457065958,0,0,0.0182748164027271,0,0,0.0164327314498847,0.0707403547952423,0.0234701049973486,0.110427194440276,0,0.193577331496281,0.186134159605751
"4","SSTP_0000001000",0.0168789410979004,0.0172248015374351,0.0541155690490413,0.291424627734383,0.205261734271882,0.379777027280056,0,0.0276847263686592,0,0,0,0.0369674752146029,0.0253727806411032,0,0,0.235573164110774,0.0702188452915295,0.0871338569811274,0,0.219819793570336,0.207532983170307
"5","SSTP_0000001050",0.0166270153974809,0.0173375679246333,0,0.11942303173485,0.05479341890962,0.0544934680469388,0,0,0.0367659845322258,0,0,0,0,0,0,0.0473102895176281,0.0236249555575792,0.0892868595927974,0.0907104370946433,0.0483532605984648,0
"6","SSTP_0000001100",0,0.0171849763577595,0.0717198982020719,0.222121099352081,0.0925730162773161,0.163088674794835,0,0,0,0,0.016433998248857,0,0,0.0164775535322088,0,0.0235764648565575,0.0468532327533449,0.197394469764005,0.0905854292810953,0.0972334477194245,0.139001871130328
"7","SSTP_0000001200",0,0,0,0.0513868339831364,0.0560481988747088,0.0540551161402076,0,0,0,0,0,0,0.0252816574040922,0.0163717209655751,0,0.0469906183216655,0,0.0216610308528867,0,0.170973279670213,0.0918065975445434
"8","SSTP_0000001400",0,0,0,0.0169779280191074,0,0,0,0,0,0.0167154870749083,0,0,0,0.0166790259882423,0,0,0.0236395549159973,0,0.180680587083742,0.0965468934670106,0
"9","SSTP_0000001425",0.0166059076507588,0.0172905868683867,0,0.0170320016560029,0.0182389084637972,0.0362480938480284,0,0,0,0,0,0,0,0,0,0.0236038034705182,0.0235592267699038,0.044500930332151,0,0.0965167597317982,0.0935677399038925
"10","SSTP_0000001450",0,0,0,0.0169584362776605,0.018167774870742,0.0180605794159879,0,0,0,0.0167121303505577,0.0327291294418218,0.0180382911563609,0,0.0166770841624965,0.0502529768911644,0,0.023634203174703,0,0,0,0.0233519214041562
"11","SSTP_0000001500",0,0.0172679922882262,0.017907010727572,0.170392312052031,0.0548951743998984,0.181367165418878,0.131209625322937,0.408457618871681,0.220755984594514,0,0.0163586193715517,0.0182220892271685,0.0255929543509222,0.0165929007302246,0.0165830511712546,0.0236200392960982,0.117786902211456,0.0666401945543821,0,0.0241887078360461,0.0935286937998403
"12","SSTP_0000004600",0,0.0194987778034441,0.054257240508535,0.0171511139129414,0.0424896610988156,0.0180228098110916,0.0443411383331972,0.0555055046504427,0.0738460313604248,0,0,0,0.0252891432501586,0.0163752458684476,0,0.164567277784115,0.116771618399823,0.225822173894386,0,0.0277235249573015,0.0917952618596842
"13","SSTP_0000004650",0,0,0.0177266262262186,0,0,0,0,0,0,0,0,0,0,0,0,0.0233126559201748,0,0.0220448719681865,0,0,0.0461930035140389
"14","SSTP_0000004800",0,0,0,0,0.733539738170824,0,0,0,0,0,0,0,0,0,0,0,0.159065798652805,0,0,0.685430247738316,0
"15","SSTP_0000004900",0.0338162618214275,0.0344578588970043,0.0541833964467598,0.188637920208007,0.13082481901542,0.288957154236191,0,0,0,0,0.0165751587732685,0,0,0,0,0.211861627518423,0.0467745556385462,0.152093960480495,0.452175561298323,0.293341293079599,0.322190896808914
"16","SSTP_0000005000",0.0678635504206505,0.017235705868496,0.05431563001928,0.411773391042833,0.33740644941099,0.684241105160811,0,0,0.0368979802053576,0,0,0,0,0.0327193449881477,0.0160711874180948,0.14099039951119,0.0700247237661287,0.129671623664315,0.270754556013201,0.342746669043979,0.275011123258541
"17","SSTP_0000005050",0,0,0.0179145161525761,0,0,0,0,0.0274328789359049,0,0.0167766535620318,0.0164032668173213,0,0,0,0,0,0.0235054048448916,0.0220873782927014,0.181647554470291,0.024282916264667,0.0698496911275223
"18","SSTP_0000005200",0.0334022155754611,0,0.0180345627027509,0.0171331111122124,0.0917043407066088,0.0364817010604388,0,0.0546290016646042,0.0369220271316745,0,0,0,0,0,0,0,0.0237001040543159,0,0.0910472663410759,0,0.0705956738038921
"19","SSTP_0000005225",0.0166985231626221,0.0172265126107069,0.0179162530164803,0.0342006332437137,0.166114395256369,0.181616245577296,0.109748679124087,0.0548632210744772,0.0370202295673885,0,0,0,0,0.0165610400658523,0,0.0236281970252129,0.070544634969577,0.0220989231808337,0.0908412735517373,0.0728694842404183,0.0931637901681256
"20","SSTP_0000005250",0,0,0.0181926464171816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244228361255021,0
"21","SSTP_0000005275",0,0.0173329616769777,0,0.119363548866711,0.0547068983277648,0.0544421169442464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234137356881336
"22","SSTP_0000005300",0,0,0.0181101558390058,0.0170586868153554,0.0182788538721218,0.0908020402466519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234762273865209
"23","SSTP_0000005400",0,0,0,0.255984360522542,0.185187326670066,0.162685698581844,0,0,0,0,0,0,0,0,0.0162490252382147,0.023520755986333,0.0233710320140903,0,0,0.0242833896180738,0.0462025571317971
