"","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"SVE_0604900",-0.818301694066221,-0.725062706536695,-2.96691146837987,-2.96691146837986,-2.48596679662495,-2.4945433471677,0.591908786516912,1.19825114380341,1.08940413577201,1.16195000677417,0.739952083351381,-0.177269553719739
"SVE_0605000",6.82001029263108,6.82837802442619,6.66497440158938,6.66329132527205,7.4177548897179,7.49212504256737,6.87956558852775,6.97012633702829,6.9499741368492,6.90410296573417,7.04534721374143,6.9837573069446
"SVE_0605100",2.72144300196266,2.76379376419405,2.86693712238021,2.84390989041786,2.49109218258165,2.48716118068747,-0.0506684937442868,0.552476559515589,-2.96691146837987,-0.109690325284798,0.396409826871745,0.2176622284688
"SVE_0605200",2.64647505702818,2.74266890758151,3.46459735733388,3.43812526184162,1.75099397911967,1.97864122659177,3.73331518372042,3.43886391581857,3.32233048829691,3.34510041981098,2.93582399003575,3.19227212287488
"SVE_0605300",-2.14891945534271,-1.65023969942646,-2.96691146837987,-2.03757648604044,-2.47974283009154,-2.12767381057562,-1.22061705308598,-1.01047615597602,0.0897545875347771,0.777208901298674,0.239868503494932,-0.146160103577943
"SVE_0605400",6.42303331032206,6.39192490696114,6.04624951108095,6.10566467840248,6.54397967806153,6.61339866610356,7.23989054809053,7.14358909292989,7.20527109574889,7.28282125861776,7.25023920657134,7.3493669886704
"SVE_0605500",2.4828616435032,2.65201281463565,3.02742815791426,3.00445917506477,2.12121940599496,2.20583453489926,3.50378028172232,3.32023217236067,3.95336945927724,3.99911737978144,4.00695267589677,3.98365505010711
"SVE_0605600",6.21765222559035,6.23213885550281,6.73463107854955,6.74805121824311,6.88666442810129,6.84530805859582,6.15713879859365,6.11284993240523,5.82514807250787,5.82669204422951,5.95843758099669,5.80186905288989
"SVE_0605700",8.39540946173054,8.37305761860724,8.10070166914497,8.12005941959177,8.40002129278963,8.40976073949461,8.19277966261745,8.18115390199211,8.1510979899738,8.18619172314288,8.1474869023171,8.1456589583836
"SVE_0605800",4.84011262845732,4.82198906888973,4.82411763309872,4.72457145516568,5.0420591174137,5.08475545078763,5.42276639570557,5.4828106024846,5.92480888655355,5.83968348293395,6.1361975711515,6.0799950956319
"SVE_0605900",2.3437625641218,2.60153032477706,1.54524948097866,1.92849887280855,3.2781991216343,3.3292265865093,4.30019164234082,4.42394737277035,3.99575958532152,3.69937107210315,4.16199890832406,4.40939760448682
"SVE_0606000",0.148330467910458,0.181613884216155,0.14349331874759,-0.114210102542981,-0.252882094895589,0.0332443738084241,-1.19784323232499,-0.315490655163316,-0.917192312524449,-1.94173876451942,-1.37400401223965,-0.172983962776672
"SVE_0606100",1.70707714602846,1.65386885326277,1.75610903652718,2.1347331683216,1.742786982145,1.80573476079349,1.81436020153502,1.51129321244995,2.00315154071455,1.78342769333684,1.98505867405972,1.91525852172785
"SVE_0606200",4.34991745315588,4.31608797642962,3.44749637343618,3.41566513874748,5.04531874179826,4.91627229287991,4.02823657316597,3.99745764071161,2.90083163914215,3.24840586495729,4.07410752420867,3.99173151345958
